ID,Review
0,"The colors are a bit too bright, but functionality is fine."
1,Update takes too long to download.
2,"Best banking app in India, hands down."
3,Worst support ever. No one replies.
4,My money got stuck for 2 days. Scary experience.
5,"The colors are a bit too bright, but functionality is fine."
6,Update takes too long to download.
7,"Best banking app in India, hands down."
8,"The app is super fast, love the new UI!"
9,Worst support ever. No one replies.
10,Customer support was very helpful in resolving my KYC issue.
11,Why is there so much hidden fees? Uninstalled.
12,"The app is super fast, love the new UI!"
13,"The app is super fast, love the new UI!"
14,"Decent app, does the job."
15,Great experience with the loan disbursement process.
16,"I love the wealth nudge feature, very useful."
17,"It's okay, but the server is down sometimes."
18,Update takes too long to download.
19,Great experience with the loan disbursement process.
20,"The app is super fast, love the new UI!"
21,Why is there so much hidden fees? Uninstalled.
22,"I love the wealth nudge feature, very useful."
23,"I love the wealth nudge feature, very useful."
24,"I love the wealth nudge feature, very useful."
25,Great experience with the loan disbursement process.
26,My money got stuck for 2 days. Scary experience.
27,Absolute trash. Transaction failed 3 times!
28,My money got stuck for 2 days. Scary experience.
29,Great experience with the loan disbursement process.
30,Great experience with the loan disbursement process.
31,"The app is super fast, love the new UI!"
32,"It's okay, but the server is down sometimes."
33,"Decent app, does the job."
34,Customer support was very helpful in resolving my KYC issue.
35,Worst support ever. No one replies.
36,"I love the wealth nudge feature, very useful."
37,Absolute trash. Transaction failed 3 times!
38,Great experience with the loan disbursement process.
39,Absolute trash. Transaction failed 3 times!
40,My money got stuck for 2 days. Scary experience.
41,Great experience with the loan disbursement process.
42,"The colors are a bit too bright, but functionality is fine."
43,Worst support ever. No one replies.
44,"Decent app, does the job."
45,"The app is super fast, love the new UI!"
46,Great experience with the loan disbursement process.
47,"Decent app, does the job."
48,"I love the wealth nudge feature, very useful."
49,"I love the wealth nudge feature, very useful."
